structure_name,is_top_level,is_unreachable
COMPOSE_CHILD__DFF_REUSABLE__DFF_TG4_INV7_FPDK45_26d9543b82b7__DFF_TG4_INV7_FPDK45_26d9543b82b7,False,False
COMPOSE_CHILD__DFF_REUSABLE__DFF_TG4_INV7_FPDK45_26d9543b82b7__COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50,False,False
COMPOSE_CHILD__DFF_REUSABLE__DFF_TG4_INV7_FPDK45_26d9543b82b7__COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_core,False,False
COMPOSE_CHILD__DFF_REUSABLE__DFF_TG4_INV7_FPDK45_26d9543b82b7__COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_pmos_m1_w0_500_sm1_dm1_da_p,False,False
COMPOSE_CHILD__DFF_REUSABLE__DFF_TG4_INV7_FPDK45_26d9543b82b7__COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_8,False,False
COMPOSE_CHILD__DFF_REUSABLE__DFF_TG4_INV7_FPDK45_26d9543b82b7__COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50_nmos_m1_w0_250_sm1_dm1_da_p,False,False
COMPOSE_CHILD__DFF_REUSABLE__DFF_TG4_INV7_FPDK45_26d9543b82b7__COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_7,False,False
COMPOSE_CHILD__DFF_REUSABLE__DFF_TG4_INV7_FPDK45_26d9543b82b7__COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_9,False,False
COMPOSE_CHILD__DFF_REUSABLE__DFF_TG4_INV7_FPDK45_26d9543b82b7__COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__TRANSMISSION_GATE_NW250_PW500_L50_contact_10,False,False
COMPOSE_CHILD__DFF_REUSABLE__DFF_TG4_INV7_FPDK45_26d9543b82b7__COMPOSE_CHILD__PINV_NW250_PW500_L50__PINV_NW250_PW500_L50__PINV_NW180_PW270_L50_contact_11,False,False
